Title,RatingTomatometer,No. of Reviews
Shine (1996),91,44
Born To Be Blue (2016),89,114
Five Easy Pieces (1970),87,46
Neil Young: Heart of Gold (2006),90,98
Buena Vista Social Club (1999),91,46
Topsy-Turvy (1999),89,84
Chicago (2002),85,252
Sweeney Todd: The Demon Barber of Fleet Street (2007),85,224
The Devil and Daniel Johnston (2006),89,110
Caesar Must Die (2013),91,47
Metallica: Some Kind of Monster (2004),89,123
The Punk Singer (2013),90,62
Control (2007),88,112
Mamma Mia! Here We Go Again (2018),80,239
Beats Rhymes & Life: The Travels of a Tribe Called Quest (2011),90,59
High Noon (1952),96,50
Strangers on a Train (1951),98,44
The Conversation (1974),98,48
Eye In The Sky (2016),95,200
The Guilty (Den skyldige) (2018),99,88
Blood Simple (1984),94,98
Bridge of Spies (2015),91,284
Searching (2018),92,214
Ex Machina (2015),92,251
10 Cloverfield Lane (2016),90,289
In the Heat of the Night (1967),96,47
Wake in Fright (2012),100,51
Blue Ruin (2014),96,136
The Killer (1989),98,40
The Bourne Ultimatum (2007),92,263
To Catch a Thief (1955),95,44
Gone Girl (2014),87,335
The Imitation Game (2014),90,265
Blue Velvet (1986),94,68
Diabolique (Les Diaboliques) (1955),95,42
Children of Men (2006),92,244
Wild Tales (2015),95,148
You Were Never Really Here (2018),89,240
Beauty and The Beast (La Belle et la bête) (1946),95,63
Her (2013),94,260
The Hustler (1961),98,43
Before Sunrise (1995),100,42
Sense and Sensibility (1995),98,59
Titanic (1997),89,184
Slumdog Millionaire (2008),91,277
Daughters of the Dust (1991),98,40
Shakespeare in Love (1998),92,137
Giant (1956),95,40
Up in the Air (2009),91,278
Eternal Sunshine Of The Spotless Mind (2004),93,238
The Lunchbox (2014),96,105
Before Sunset (2004),95,172
Dave (1993),95,58
The Town (2010),93,222
Midnight in Paris (2011),93,215
From Here to Eternity (1953),92,50
Four Weddings and a Funeral (1994),95,66
A Summer's Tale (2014),98,46
The Crying Game (1992),94,66
Big Night (1996),96,56
Howards End (1992),94,63
Million Dollar Baby (2004),91,264
About a Boy (2002),93,186
The General (1927),94,47
Knocked Up (2007),90,248
Monsoon Wedding (2002),95,120
Masculin Feminin (1966),92,39
Hamlet (1996),95,56
Revanche (2009),96,81
To All the Boys I've Loved Before (2018),96,55
Out of Sight (1998),93,88
The Graduate (1967),89,75
The Remains of the Day (1993),95,40
Strictly Ballroom (1992),95,41
The Spectacular Now (2013),92,160
Moonstruck (1987),93,55
The Duke Of Burgundy (2015),94,95
Brief Encounter (1945),90,41
The Piano (1993),92,60
Southside With You (2016),91,151
Y Tu Mama Tambien (2001),92,137
Lone Star (1996),94,47
Hannah and Her Sisters (1986),91,56
Kung Fu Hustle (2005),90,185
Open Hearts (Elsker Dig For Evigt) (2002),95,57
Obvious Child (2014),90,157
Husbands and Wives (1992),93,40
The Martian (2015),91,346
Snowpiercer (2014),95,237
Live Die Repeat: Edge of Tomorrow (2014),90,305
Brazil (1985),98,47
Blade Runner (1982),90,110
Spider-Man 2 (2004),93,269
Captain America: The Winter Soldier (2014),89,283
Love Is Strange (2014),94,172
L'année dernière à Marienbad (Last Year at Marienbad) (1961),94,47
Finding Vivian Maier (2014),95,96
An Inconvenient Truth (2006),93,162
A Film Unfinished (2010),97,64
"Bigger, Stronger, Faster* (2008)",96,76
Sweetgrass (2009),97,60
Trouble the Water (2008),96,75
To Be and to Have (Etre et Avoir) (2003),97,59
"Food, Inc. (2009)",95,111
